City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,296.38,89,31,1.03,US,1689389831
1,saynshand,44.8824,110.1163,296.61,28,0,1.65,MN,1689390065
2,gadzhiyevo,69.2551,33.3362,286.67,82,100,0.51,RU,1689390066
3,ancud,-41.8697,-73.8203,282.48,71,38,6.61,CL,1689390066
4,adamstown,-25.066,-130.1015,294.75,78,37,5.83,PN,1689390066
5,grytviken,-54.2811,-36.5092,268.63,57,0,2.05,GS,1689390067
6,waiuku,-37.25,174.75,288.89,86,29,3.99,NZ,1689390067
7,iqaluit,63.7506,-68.5145,280.0,100,75,0.0,CA,1689390013
8,hermanus,-34.4187,19.2345,286.87,72,1,4.46,ZA,1689390068
9,alofi,-19.0595,-169.9187,298.09,83,100,6.69,NU,1689390068
10,new norfolk,-42.7826,147.0587,284.87,62,19,4.37,AU,1689390068
11,nemuro,43.3236,145.575,286.81,95,100,3.57,JP,1689390052
12,yellowknife,62.456,-114.3525,295.44,46,75,4.12,CA,1689390069
13,qaqortoq,60.7167,-46.0333,279.46,92,77,0.47,GL,1689390069
14,richards bay,-28.783,32.0377,287.39,71,0,4.55,ZA,1689390070
15,bykovo,55.6361,38.0803,288.0,100,75,2.0,RU,1689390070
16,polyarnyy,69.1989,33.4478,289.41,79,100,2.32,RU,1689390070
17,kholmskiy,44.8469,38.385,293.1,94,5,2.61,RU,1689390071
18,callao,-12.0667,-77.15,294.31,73,100,3.6,PE,1689390071
19,wailua homesteads,22.0669,-159.378,301.39,78,0,1.34,US,1689390071
20,rongelap,11.1635,166.8941,301.37,79,84,8.88,MH,1689390072
21,edd,13.9297,41.6925,304.33,63,55,2.38,ER,1689390072
22,nova vicosa,-17.8919,-39.3719,295.87,83,100,7.51,BR,1689390072
23,nyurba,63.2842,118.3319,276.62,98,100,4.85,RU,1689390072
24,ola,59.5833,151.2833,296.01,71,9,4.06,RU,1689390073
25,waitangi,-43.9535,-176.5597,283.05,82,100,1.34,NZ,1689390073
26,divo,5.8397,-5.36,293.81,99,65,0.93,CI,1689390073
27,suva,-18.1416,178.4415,295.86,88,100,1.54,FJ,1689390074
28,puerto natales,-51.7236,-72.4875,269.6,93,95,1.54,CL,1689390074
29,fortuna,40.5982,-124.1573,290.89,86,0,3.6,US,1689390001
30,papatowai,-46.5619,169.4708,285.83,68,100,3.25,NZ,1689390074
31,usogorsk,63.4106,48.6872,289.54,73,91,2.02,RU,1689390074
32,machico,32.7,-16.7667,297.43,81,40,3.6,PT,1689390075
33,merizo village,13.2658,144.6691,304.25,82,82,6.67,GU,1689390075
34,bethel,41.3712,-73.414,297.2,84,75,0.0,US,1689389938
35,stanley,54.868,-1.6985,286.35,91,33,2.21,GB,1689390075
36,kodiak,57.79,-152.4072,285.56,87,89,2.2,US,1689390076
37,punta arenas,-53.15,-70.9167,273.21,86,0,4.12,CL,1689389948
38,la passe,45.5549,-0.8967,293.7,85,39,4.31,FR,1689390076
39,iskateley,67.6803,53.1512,290.5,62,25,1.98,RU,1689390076
40,ponoka,52.6768,-113.5815,292.14,82,1,1.33,CA,1689390077
41,belyy yar,53.6039,91.3903,298.09,65,0,3.0,RU,1689390077
42,tiksi,71.6872,128.8694,282.65,60,67,3.89,RU,1689389926
43,bakri,2.0441,102.6527,303.31,71,99,2.87,MY,1689390078
44,la'ie,21.6477,-157.9253,304.13,66,4,1.79,US,1689390078
45,cockburn town,21.4612,-71.1419,301.43,83,7,8.33,TC,1689390078
46,port-aux-francais,-49.35,70.2167,275.39,61,65,16.69,TF,1689390079
47,saipan,15.1355,145.701,302.95,100,100,5.81,MP,1689390079
48,bandarbeyla,9.4942,50.8122,298.54,61,2,12.73,SO,1689390079
49,margaret river,-33.95,115.0667,287.34,59,9,5.24,AU,1689390079
50,olonkinbyen,70.9221,-8.7187,278.14,98,100,6.14,SJ,1689390080
51,howard springs,-12.497,131.047,304.16,33,6,3.16,AU,1689390080
52,kingston,17.997,-76.7936,302.68,81,20,9.77,JM,1689389854
53,abepura,-2.6333,140.5833,303.6,66,20,2.57,ID,1689390080
54,east london,-33.0153,27.9116,290.25,34,100,4.38,ZA,1689390036
55,anadyr,64.75,177.4833,288.43,67,75,3.0,RU,1689390081
56,east ballina,-28.8667,153.5833,295.82,50,2,4.21,AU,1689390081
57,ribeira grande,38.5167,-28.7,293.02,82,83,3.58,PT,1689390082
58,cova figueira,14.8905,-24.2934,296.64,86,99,2.26,CV,1689390082
59,invercargill,-46.4,168.35,285.9,71,99,3.01,NZ,1689390082
60,west island,-12.1568,96.8225,299.14,69,75,7.72,CC,1689390082
61,puerto ayora,-0.7393,-90.3518,298.46,91,70,4.02,EC,1689390083
62,ta`u,-14.2336,-169.5144,300.3,76,64,7.53,AS,1689390083
63,praia da vitoria,38.7333,-27.0667,293.01,88,20,4.24,PT,1689390084
64,blackmans bay,-43.0167,147.3167,284.22,65,22,5.26,AU,1689389861
65,neiafu,-18.65,-173.9833,298.53,73,75,3.6,TO,1689390077
66,luderitz,-26.6481,15.1594,287.07,57,0,0.54,NA,1689390084
67,namibe,-15.1961,12.1522,292.14,41,0,2.57,AO,1689390084
68,vadso,70.0744,29.7487,289.64,82,75,1.54,NO,1689390085
69,al bardiyah,31.7561,25.0865,297.54,91,0,6.67,LY,1689390085
70,lihue,21.9789,-159.3672,301.73,71,2,4.33,US,1689390085
71,makar'yev,57.8797,43.8069,287.93,78,100,1.77,RU,1689390085
72,salalah,17.0151,54.0924,298.58,90,100,5.07,OM,1689390086
73,conceicao do araguaia,-8.2578,-49.2647,296.41,35,2,0.44,BR,1689390086
